Codigo,Articulo,Cantidad, Precio Unitario , Importe 
1043/00071-022,ARO BAJAJ PULSAR/ROUSER 135 0.25 NSU,2," $es  3,701.21 "," $  7,402.43 "
1043/00073-022,ARO BAJAJ PULSAR/ROUSER 135 0.75 NSU,1," $  3,709.62 "," $  3,709.62 "
1043/00070-022,ARO BAJAJ PULSAR/ROUSER 135 STD NSU,2," $  3,701.22 "," $  7,402.44 "
1043/15000-022,ARO GILERA 110 13MM/52.4MM STD YAMASIDA,10," $  2,710.75 "," $  27,107.46 "
1078/12060-128,BATERIA GEL 12N 5-3B AGM .,10," $  20,307.65 "," $  203,076.50 "
1078/12080-128,BATERIA GEL 12N 7-3B AGM .,1," $  23,989.49 "," $  23,989.49 "
1079/13020-128,BATERIA GEL YTX 5L-BS .,4," $  20,775.77 "," $  83,103.08 "
1051/00010-022,BENDIX ARR.ELECTRICO GIL.SMASH C/ENGR.Z41 NSU,3," $  10,189.23 "," $  30,567.70 "
1745/00047-128,CABALLETE YAMAHA YBR 125 .,2," $  9,722.66 "," $  19,445.31 "
1143/00003-511,CABLE EMBRAGUE BAJAJ NS 200 BOTTA,4," $  5,163.79 "," $  20,655.16 "
1171/00045-143,CADENA 428H - 118L 1/2  X 5/16 DORADA MAHLI,30," $  6,411.24 "," $  192,337.17 "
1171/00040-128,CADENA 428H - 118L 1/2 X 5/16 .,30," $  5,243.20 "," $  157,296.09 "
1171/00060-143,CADENA 428H 136L 1/2 X 5/16 MAHLI,30," $  6,073.81 "," $  182,214.28 "
1171/00110-128,CADENA 520H 118L 5/8 X 1/4 .,10," $  13,082.05 "," $  130,820.51 "
1205/13010-138,CAMARA 13 X 110/90 .,5," $  3,852.50 "," $  19,262.49 "
1205/14070-131,CAMARA 14 X 275/300 YAMASIDA/FITSRU,25," $  2,708.58 "," $  67,714.38 "
1205/17135-131,CAMARA 17 X 250/275 YAMASIDA/FITSRU,25," $  2,708.58 "," $  67,714.38 "
1205/18160-131,CAMARA 18 X 275/300 YAMASIDA/FITSRU,15," $  2,843.11 "," $  42,646.62 "
1217/00040-138,CARBURADOR HONDA BIZ .,2," $  14,822.73 "," $  29,645.47 "
1217/00037-128,CARBURADOR MOTOMEL VX150/GILERA SUPER .,1," $  30,122.47 "," $  30,122.47 "
1217/00145-038,CARBURADOR ZANELLA RX 150/MOTOMEL/CERRO NSU,1," $  25,203.02 "," $  25,203.02 "
1493/00105-022,"CARCAZA FILTRO AIRE H.C-100 BIZ,TRIP,SMASHC/FILTRO NSU",3," $  6,586.61 "," $  19,759.84 "
1225/00014-038,CODO DE ADMISION CARBURADOR BAJAJ NS 150/160 NSU,6," $  1,570.19 "," $  9,421.16 "
1225/00058-038,CODO DE ADMISION HONDA XR150L NSU,8," $  5,727.96 "," $  45,823.71 "
1225/00060-038,CODO DE ADMISION ZANELLA RX 150 NSU,6," $  2,499.56 "," $  14,997.33 "
