Articulo,Descripcion,"Lista IMP.
U$S DÓLAR","Lista NAC.
$ PESOS",
1001,ACCESORIOS,,,
1001/00010-084,ABRAZADERA CHAPA FILTRO AIRE NSU,0.37,0.00,
1001/00012-022,PARABRISAS DEL.YAMAHA FZ 16 TRANSPARENTE NSU,33.10,0.00,
1001/00013-022,PARABRISAS DEL.YAMAHA FZ 16 FUME NSU,31.36,0.00,
1001/00017-022,PARABRISAS DEL.DE MOTOS UNIVERSAL C/SOPORTES NSU,26.99,0.00,
1001/00032-566,CAJA DELIVERY SUPER C/ 1 ESTANTE REFORZADA NEGRA VC,0.00,35438.09,
1001/00033-566,CAJA DELIVERY SUPER C/ 1 ESTANTE REFORZADA BLANCA VC,0.00,42606.25,
1001/00034-566,CAJA DELIVERY LARGA NEGRA C/1 ESTANTE 41X41X50 VC,0.00,44268.09,
1001/00037-038,CEPILLO LIMPIA CADENA Y TRANSMISION NSU,1.31,0.00,
1001/00038-566,BASE EXTRAIBLE P/CAJA DELIVERY CON 2 LLAVES VC,0.00,37076.38,
1001/00043-566,CAJON ESTANTERIA 250 X 145 X 120 VC,0.00,4002.35,
1001/00045-566,UNION CONEXION CAJON XL VC,0.00,71.47,
1001/00104-654,LIMPIA CADENAS x 150g 237 ml ARGOIL,0.00,3466.15,
1001/00106-654,LIMPIA CARBURADORES Y SIST.DE INYECCIONx237ml/160g ARGOIL,0.00,3579.23,
1001/00108-654,LIMPIAMOTORES EN AEROSOL x 237ML/160GR ARGOIL,0.00,3747.40,
1001/00115-123,GUANTE M-1TALLE S xPAR CUERO CABRA SPANDEX AMA/NEG NSU,30.79,0.00,
1001/00117-123,GUANTE M-2 TALLE S xPAR CROSS SPANDEX ROJO/NEGRO NSU,33.06,0.00,
1001/00120-566,MANGA PROTECTORA DE MANO UNIVERSAL C/ABRIGO JGO. VC,0.00,23114.21,
1001/00124-665,AEROSOL FOAM FILTRO x220CC BMB,0.00,6772.01,
1001/00126-665,LIMPIADOR CLEANER PARA FILTROS 250CC BMB,0.00,8277.05,
1001/00155-128,INFLA Y SELLA NEUMATICOS x 235ML .,2.74,0.00,
1001/00157-128,INFLA Y SELLA NEUMATICOS x 450ML .,3.95,0.00,
1001/00160-128,ZUNCHO CINTA 25/GANCHO DE 8 L/2.00 M-600 .,4.98,0.00,
1001/00170-128,ZUNCHO PLUS 50/GANCHO DE 10 L/2.20 M-1200 .,6.40,0.00,
1001/00182-536,TENSOR ELASTICO 8MM X 1.10MT GANCHO NYLON AF,0.00,2812.31,
1001/00190-022,INFLADOR DE PIE 2 CILINDROS EXTRALARGO 100PSI NSU,8.33,0.00,
1001/00194-038,MINICOMPRESOR ANALOGICO 12V.150PSI NSU,19.00,0.00,
1001/00196-038,MINICOMPRESOR DIGITAL 12V.150PSI NSU,28.24,0.00,
1001/00300-566,CUBREMOTOS TALLE M 205X89X120 WATER PROOF C/BOLSO VC,0.00,18598.21,
1001/00310-566,CUBREMOTOS TALLE XL 230X95X135 WATER PROOF C/BOLSO VC,0.00,21610.76,
1001/00332-095,CUBREMOTOS TALLE G ALBA,33.84,0.00,
1001/00334-095,CUBREMOTOS TALLE GG ALBA,33.84,0.00,
1001/00336-095,CUBREMOTOS TALLE GGG ALBA,38.57,0.00,
1001/00395-022,MOCHILA RIGIDA CON PUERTOS USB NSU,71.80,0.00,
1001/00445-095,TRAJE DE LLUVIA DAYTONA TALLE M ALBA,40.70,0.00,
1001/00446-095,TRAJE DE LLUVIA DAYTONA TALLE G ALBA,40.70,0.00,
1001/00447-095,TRAJE DE LLUVIA DAYTONA TALLE GG ALBA,40.70,0.00,
1001/00448-095,TRAJE DE LLUVIA DAYTONA TALLE GGG / EG ALBA,40.70,0.00,
1001/00450-095,TRAJE DE LLUVIA EUROPA TALLE M ALBA,40.71,0.00,
1001/00460-095,TRAJE DE LLUVIA EUROPA TALLE G ALBA,40.71,0.00,
1001/00470-095,TRAJE DE LLUVIA EUROPA TALLE GG ALBA,40.71,0.00,
1001/00475-095,TRAJE DE LLUVIA EUROPA FEMENINO TALLE GG ALBA,44.67,0.00,
1001/00480-095,TRAJE DE LLUVIA EUROPA TALLE GGG / EG ALBA,44.67,0.00,
1001/00490-095,TRAJE DE LLUVIA EUROPA PLUS TALLE M C/GALOCHA ALBA,55.03,0.00,
1001/00492-095,TRAJE DE LLUVIA EUROPA PLUS TALLE G C/GALOCHA ALBA,59.37,0.00,
1001/00494-095,TRAJE DE LLUVIA EUROPA PLUS TALLE GG C/GALOCHA ALBA,56.25,0.00,
1001/00650-566,DEFENSA DE MOTOR YAMAHA FZ16 FRAME SLIDERS VC,0.00,44974.64,
1001/00800-591,ANTIRROBO ELECTRONICO 6V APOLO,0.00,112818.59,
1001/00810-591,ANTIRROBO ELECTRONICO 12V APOLO,0.00,112818.59,
1001/00850-591,REEMPLAZA BATERIA ELECTRONICO APOLO,0.00,41192.20,
1001/00900-022,PORTANUMERO CROSS NSU,9.63,0.00,
1001/01050-022,SOPORTE PARA CELULAR AGARRE ACOLCHADO ANTI SHOCK NSU,2.96,0.00,
1001/01052-022,SOPORTE FUNDA PORTA CELULAR/GPS IMPERMEABLE TACTIL NSU,5.95,0.00,
1001/01055-022,SOPORTE CELULAR AGARRE ACOLCHADO ANTI SHOCK AUTO NSU,2.83,0.00,
1001/01100-139,TRAJE DE LLUVIA LUVIO MASCULINO TALLE S BEON,25.98,0.00,
1001/01101-139,TRAJE DE LLUVIA LUVIO MASCULINO TALLE M BEON,25.99,0.00,
1001/01102-139,TRAJE DE LLUVIA LUVIO MASCULINO TALLE L BEON,25.99,0.00,
1001/01103-139,TRAJE DE LLUVIA LUVIO MASCULINO TALLE XL BEON,25.99,0.00,
1001/01104-139,TRAJE DE LLUVIA LUVIO MASCULINO TALLE XXL BEON,30.67,0.00,
1001/01200-139,TRAJE DE LLUVIA LUVIO FEMENINO TALLE S BEON,25.99,0.00,
1001/01201-139,TRAJE DE LLUVIA LUVIO FEMENINO TALLE M BEON,25.99,0.00,
1001/01202-139,TRAJE DE LLUVIA LUVIO FEMENINO TALLE L BEON,25.99,0.00,
1001/01203-139,TRAJE DE LLUVIA LUVIO FEMENINO TALLE XL BEON,25.99,0.00,
1001/01300-022,MARCADORES BLANCO PINTURA PARA NEUMATICOS x 6UNID. NSU,5.63,0.00,
1001/01320-022,MARCADORES VARIOS COLORES PINTURA NEUMATICOS x 8u. NSU,9.58,0.00,
1001/01520-566,PORTAPAQUETE P/TAPA BAUL UNIV. INCLUYE TENSOR ELAS VC,0.00,8474.19,
1001/01600-138,KIT ACOPLES RAPIDOS 1/4 MAQUINAS NEUMATICAS x6u .,14.32,0.00,
1001/02490-566,PRECINTOS PLASTICOS 3MM x 150MM (x100U.) VC,0.00,6019.03,
1001/02500-566,PRECINTOS PLASTICOS 4MM x 200MM (x100U.) VC,0.00,7916.33,
1001/02520-566,PRECINTOS PLASTICOS 4.8MM x 300MM (x100U.) VC,0.00,16258.23,
1001/02550-566,PRECINTOS REUTILIZABLES 8MM x 200MM (x100UNID.) VC,0.00,17885.75,
1001/10225-623,"ALARMA MOTO C/ENCENDIDO A DISTANCIA,PANICO DZE",0.00,57089.30,
1001/13000-566,MASCARA NEOPRENE/POLAR VC,0.00,7205.29,
1001/13010-022,MASCARA TERMICA NEOPRENE C/CUELLO POLAR ROJA NSU,1.36,0.00,
1001/13010-128,MASCARA TERMICA NEOPRENE C/CUELLO POLAR ROJA .,1.33,0.00,
1001/13020-022,MASCARA TERMICA NEOPRENE C/CUELLO POLAR AZUL NSU,1.36,0.00,
1001/13020-128,MASCARA TERMICA NEOPRENE C/CUELLO POLAR AZUL .,1.33,0.00,
1001/13030-128,MASCARA TERMICA NEOPRENE C/CUELLO POLAR NEGRA .,2.25,0.00,
1001/40010-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE S NSU,7.85,0.00,
1001/40020-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE M NSU,7.85,0.00,
1001/40030-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE L NSU,7.85,0.00,
1001/40040-038,REMERA TERMICA PRIMERA PIEL NEGRA TALLE XL NSU,7.85,0.00,
1001/45000-151,FILM PROTECTOR ANTI LLUVIA PARA VISOR CASCO .,4.07,0.00,
1001/45010-151,FILM PROTECTOR ANTINIEBLA PARA VISOR CASCO .,4.07,0.00,
1001/50010-022,MUSLERA PARA MOTO BOLSO/RIÑONERA TACTICA M1 NSU,10.82,0.00,
1001/50020-022,MUSLERA PARA MOTO BOLSO/RIÑONERA TACTICA M2 NSU,10.82,0.00,
1001/60001-038,FAROL TRAS. LED PARA  CASCO NSU,6.17,0.00,
1002,ADITIVOS,,,
1002/00085-654,LUBRICANTE MULTIUSO x237ML/163G ARGOIL,0.00,3479.43,
1002/00180-156,SOLUCION PARA PARCHES 12ML x 12 UNIDADES NSU,3.33,0.00,
1002/00190-138,PARCHE (20 UNIDADES DIAM.40) .,1.06,0.00,
1002/00192-138,PARCHE (16 UNIDADES DIAM.50) .,1.14,0.00,
1002/00194-138,PARCHE (24 UNIDADES 50X30mm) .,1.05,0.00,
1002/00310-663,FORMADOR DE JUNTAS x50GR PIEZAS RECTIFICADAS 3518 LOCX,0.00,2353.70,
1005,ADITIVOS ACEITE 4T,,,
1005/02100-658,ACEITE PRIDE 4T SPECIAL 20W50  x 1 LITRO(MINERAL) GULF,0.00,5615.86,
